"School Name","Session Date",Question
"St Peter's  C of E Junior school",04/01/2021,"What area of our school life would you like to improve in our school?"
"Stormont House School",04/01/2021,"What is the best thing about being on holiday?"
"Manchester Enterprise Academy",20/12/2020,"Do you enjoy reading?"
"Hannah Ball School",18/12/2020,"What female names can we give 2 of our Houses?"
"Valence Primary School",17/12/2020,"Are New Years Resolutions worthwhile?"
"Hannah Ball School",16/12/2020,"What names shall we give our Houses? (2 choices in this meeting)?"
"Coronavirus Daily Debate",16/12/2020,"On a scale of 1 - 5 (1 being very bad, 5 being very good) how do you feel about keeping 2 - meters distance from your friends?"
"Sankey Valley St James CE Primary School",16/12/2020,"What are you most looking forward to this Christmas? ?"
"Hawthorns Primary",16/12/2020,"If we achieve the school amount of Dojos by Friday, what would you like to do?"
"Tangmere Primary Academy",15/12/2020,"We have been given permission to put a time capsule to represent 2020 within the church grounds.  What items/ information would you put inside a time capsule to represent the year 2020 (please give specific items/ information)?"
"Bronte Girls' Acadmey",15/12/2020,"As this year comes to an end, what would you like to achieve in the new year?"
"Bronte Girls' Acadmey",15/12/2020,"As this year comes to an end, what would you like to achieve in the new year?"
"Heron Primary School",14/12/2020,"Looking back at the term, which of these has helped you the most?"
"Ashford Park Primary School",14/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"Littlegreen School",14/12/2020," Who is your 2020 hero and why?"
"Hardwick Green Primary Academy",14/12/2020,"What would you like to receive for DOJO points?"
"Colville Primary School",13/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"Grove Primary School",11/12/2020,"What is the best time to wake up on Christmas Day?"
"George White Junior School",11/12/2020," What time is it OK to wake up on Christmas Day?"
"Valence Primary School",11/12/2020,"What time is it OK to wake up on Christmas Day?"
"The Mill Primary Academy",11/12/2020,"Looking back at our term, what have you enjoyed the most? Is it, learning new things in Maths, Literacy or even new lessons like: Stop! Grammar time! Is it, playing with your friends and making new friends? Is it, the time saving/ easier way of doing things like google assemblies? Or is it, getting to know your teacher well for this year? Discuss in your groups!?"
"Trinity Primary School Hereford",11/12/2020,"How do you feel having a restricted play section?"
"Oxclose Community Academy",11/12/2020,"Local Campaign 2021 - We would like you ALL to have one vote each on the topic for the local campaign for Sunderland, one vote per person remember, please choose the issue you think is the most important to you.?"
"Corpus Christi Catholic Primary School",11/12/2020,"What time is it ok to get up on Christmas Day? ?"
"New bridge Group",11/12/2020,"What are you most looking forward too over the Christmas period ?"
"Corpus Christi Catholic Primary School",11/12/2020,"What time is it ok to get up on Christmas Day? ?"
"KT First",11/12/2020,"Which name  would you choose for Parrot Club?"
"Littlegreen School",10/12/2020,"Which word do you think best describes the value 'having support and kindness'?"
"Sankey Valley St James CE Primary School",10/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"Southmead Primary",10/12/2020,"Looking back at this term in school, which of these has helped you the most?"
"The Hart School",10/12/2020,"The School Council have been meeting and have come up with several exited projects for the upcoming year. Which one are you interested in taking part in the most?"
"Orminston Herman Academy",10/12/2020,"How can OHA students help to improve the environment?"
"Bronte Girls' Acadmey",10/12/2020,"What or who has helped you the most in school since returning in September?"
"Dixons Manningham Primary",10/12/2020,"Some people think behaviour isn't great in our school, why is this?"
"Hampton Hill Junior School",09/12/2020,"What makes you proud to be part of our school?"
"Portfield Primary Academy",09/12/2020,"Which piece of art should win the Mrs Pelling Art Award?  ?"
"Littlegreen School",09/12/2020,"Which word do you think best describes the value 'having acceptance and respect'?"
"William Hulme's Grammar School (sec)",09/12/2020,"Which of the 4 self care areas do you think is most important?"
"Lime Academy Larkswood",09/12/2020,"What do you think people enjoy most at Christmas?"
"Hawthorns Primary",09/12/2020,"Looking back at this term, which of these have helped you the most?"
"Littlegreen School",08/12/2020,"Which word do you think best describes the value 'opportunity to learn'?"
"Oundle Primary School",08/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"Clara Grant Primary School",08/12/2020,"What one thing do you most want to improve about play time/lunch time?"
"Stogursey Church of England Primary",08/12/2020,"The House Captains are running a lunchtime sports competition.  Which sport should it be?"
"St. Michael with St. John CE Primary School",08/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"Richard Alibon Primary School",08/12/2020,"Now we know there are successful Covid-19 vaccines, who do you think should get them first?"
"Highnam CofE Primary Academy",08/12/2020,"What are you most looking forward to about Christmas?"
"Elm Wood Primary School",07/12/2020,"What are you looking forward to most this Christmas?"
"Harrow Gate Primary Academy",07/12/2020,"Looking back at the term in school,  which of these has helped you the most?"
"Littlegreen School",07/12/2020,"What do you value the most about being at LGA, which do you think is the most valuable?"
"St. Mary's Church of England Academy",07/12/2020,"Compared to last half-term (before the October half-term), how do you feel about being in school?"
"Bedonwell Junior School",07/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"George White Junior School",07/12/2020," Looking back at the term in school, which of these has helped you the most?"
"Winsor Primary School",07/12/2020,"Looking back at the term in school, which of these has helped you the most?"
"St James' CE Primary Haydock",07/12/2020,"What would be the best Christmas Movie to watch in class next week?"
"Tangmere Primary Academy",07/12/2020,"Looking back at the term in school, which of these has helped you the most?"
